Field Name,Offset (bytes),Size (bytes)
===============================,=====================,==================
mVersion,0,4
mBuildVersionNumber,4,4
mGameState,8,4
mSessionState,12,4
mRaceState,16,4
mViewedParticipantIndex,20,4
mNumParticipants,24,4
mParticipantInfo,28,6400
mUnfilteredThrottle,6428,4
mUnfilteredBrake,6432,4
mUnfilteredSteering,6436,4
mUnfilteredClutch,6440,4
mCarName,6444,64
mCarClassName,6508,64
mLapsInEvent,6572,4
mTrackLocation,6576,64
mTrackVariation,6640,64
mTrackLength,6704,4
mNumSectors,6708,4
mLapInvalidated,6712,1
mBestLapTime,6716,4
mLastLapTime,6720,4
mCurrentTime,6724,4
mSplitTimeAhead,6728,4
mSplitTimeBehind,6732,4
mSplitTime,6736,4
mEventTimeRemaining,6740,4
mPersonalFastestLapTime,6744,4
mWorldFastestLapTime,6748,4
mCurrentSector1Time,6752,4
mCurrentSector2Time,6756,4
mCurrentSector3Time,6760,4
mFastestSector1Time,6764,4
mFastestSector2Time,6768,4
mFastestSector3Time,6772,4
mPersonalFastestSector1Time,6776,4
mPersonalFastestSector2Time,6780,4
mPersonalFastestSector3Time,6784,4
mWorldFastestSector1Time,6788,4
mWorldFastestSector2Time,6792,4
mWorldFastestSector3Time,6796,4
mHighestFlagColour,6800,4
mHighestFlagReason,6804,4
mPitMode,6808,4
mPitSchedule,6812,4
mCarFlags,6816,4
mOilTempCelsius,6820,4
mOilPressureKPa,6824,4
mWaterTempCelsius,6828,4
mWaterPressureKPa,6832,4
mFuelPressureKPa,6836,4
mFuelLevel,6840,4
mFuelCapacity,6844,4
mSpeed,6848,4
mRpm,6852,4
mMaxRPM,6856,4
mBrake,6860,4
mThrottle,6864,4
mClutch,6868,4
mSteering,6872,4
mGear,6876,4
mNumGears,6880,4
mOdometerKM,6884,4
mAntiLockActive,6888,1
mLastOpponentCollisionIndex,6892,4
mLastOpponentCollisionMagnitude,6896,4
mBoostActive,6900,1
mBoostAmount,6904,4
mOrientation,6908,12
mLocalVelocity,6920,12
mWorldVelocity,6932,12
mAngularVelocity,6944,12
mLocalAcceleration,6956,12
mWorldAcceleration,6968,12
mExtentsCentre,6980,12
mTyreFlags,6992,16
mTerrain,7008,16
mTyreY,7024,16
mTyreRPS,7040,16
mTyreSlipSpeed,7056,16
mTyreTemp,7072,16
_padding1,7088,16
mTyreHeightAboveGround,7104,16
_padding2,7120,16
mTyreWear,7136,16
mBrakeDamage,7152,16
mSuspensionDamage,7168,16
mBrakeTempCelsius,7184,16
mTyreTreadTemp,7200,16
mTyreLayerTemp,7216,16
mTyreCarcassTemp,7232,16
mTyreRimTemp,7248,16
mTyreInternalAirTemp,7264,16
mCrashState,7280,4
mAeroDamage,7284,4
mEngineDamage,7288,4
mAmbientTemperature,7292,4
mTrackTemperature,7296,4
mRainDensity,7300,4
mWindSpeed,7304,4
mWindDirectionX,7308,4
mWindDirectionY,7312,4
mCloudBrightness,7316,4
mSequenceNumber,7320,4
mWheelLocalPositionY,7324,16
mSuspensionTravel,7340,16
mSuspensionVelocity,7356,16
mAirPressure,7372,16
mEngineSpeed,7388,4
mEngineTorque,7392,4
mWings,7396,8
mHandBrake,7404,4
mCurrentSector1Times,7408,256
mCurrentSector2Times,7664,256
mCurrentSector3Times,7920,256
mFastestSector1Times,8176,256
mFastestSector2Times,8432,256
mFastestSector3Times,8688,256
mFastestLapTimes,8944,256
mLastLapTimes,9200,256
mLapsInvalidated,9456,64
mRaceStates,9520,256
mPitModes,9776,256
mOrientations,10032,768
mSpeeds,10800,256
mCarNames,11056,4096
mCarClassNames,15152,4096
mEnforcedPitStopLap,19248,4
mTranslatedTrackLocation,19252,64
mTranslatedTrackVariation,19316,64
mBrakeBias,19380,4
mTurboBoostPressure,19384,4
mTyreCompound,19388,160
mPitSchedules,19548,256
mHighestFlagColours,19804,256
mHighestFlagReasons,20060,256
mNationalities,20316,256
mSnowDensity,20572,4
mSessionDuration,20576,4
mSessionAdditionalLaps,20580,4
mTyreTempLeft,20584,16
mTyreTempCenter,20600,16
mTyreTempRight,20616,16
mDrsState,20632,4
mRideHeight,20636,16
mJoyPad0,20652,4
mDPad,20656,4
mAntiLockSetting,20660,4
mTractionControlSetting,20664,4
mErsDeploymentMode,20668,4
mErsAutoModeEnabled,20672,1
mClutchTemp,20676,4
mClutchWear,20680,4
mClutchOverheated,20684,1
mClutchSlipping,20685,1
mYellowFlagState,20688,4
mSessionIsPrivate,20692,1
mLaunchStage,20696,4
